Time,Data,Simulation
0.084,21.3,22.4
0.086,21.4,22.4
0.088,21.4,22.4
0.09,21.4,22.4
0.092,21.4,22.4
0.094,21.4,22.4
0.096,21.4,22.4
0.098,21.4,22.4
0.1,21.4,22.4
0.102,21.4,22.4
0.104,21.4,22.4
0.106,21.4,22.4
0.108,21.5,22.4
0.11,21.4,22.4
0.112,21.4,22.4
0.114,21.4,22.4
0.116,21.4,22.4
0.118,21.4,22.4
0.12,21.4,22.4
0.122,21.5,22.4
0.124,21.5,22.4
0.126,21.5,22.4
0.128,21.4,22.4
0.13,21.4,22.4
0.132,21.4,22.4
0.134,21.4,22.4
0.136,21.4,22.4
0.138,21.4,22.4
0.14,21.4,22.4
0.142,21.4,22.4
0.144,21.4,22.4
0.146,21.4,22.4
0.148,21.4,22.4
0.15,21.4,22.4
0.152,21.4,22.4
0.154,21.4,22.4
0.156,21.4,22.4
0.158,21.4,22.4
0.16,21.4,22.4
0.162,21.4,22.4
0.164,21.3,22.4
0.166,21.3,22.4
0.168,21.3,22.199719176432257
0.17,21.3,21.94902756321069
0.172,21.3,21.693174436777078
0.174,21.4,21.432209879349916
0.176,21.3,21.16618497715295
0.178,21.3,20.895151810783368
0.18,21.3,20.619163445379378
0.182,21.3,20.33827392058858
0.184,21.3,20.052538240338272
0.186,21.3,19.762012362408917
0.188,21.3,19.466753187812433
0.19,21.2,19.16681854997637
0.192,21.2,18.862267203735737
0.194,21.2,18.553158814133795
0.196,21.2,18.239553945033578
0.198,21.2,17.92151404754163
0.2,21.1,17.59910144824581
0.202,21.2,17.27237933726872
0.204,21.2,16.941411756138834
0.206,21.2,16.60626358548095
0.208,21.2,16.26700053252808
0.21,21.1,15.923689118456684
0.212,21.0,15.576396665547309
0.214,20.8,15.225191284172828
0.216,20.6,14.870141859616318
0.218,20.3,14.511318038720987
0.22,19.9,14.148790216374296
0.222,19.5,13.78262952182874
0.224,19.0,13.412907804861717
0.226,18.5,13.039697621776867
0.228,17.9,12.663072221249571
0.23,17.3,12.283105530019153
0.232,16.7,11.89987213843043
0.234,16.1,11.513447285827402
0.236,15.5,11.12390684580189
0.238,14.8,10.731327311299868
0.24,14.100000000000001,10.335785779588555
0.242,13.4,9.937359937087148
0.244,12.7,9.536128044064242
0.246,12.1,9.13216891920506
0.248,11.4,8.72556192405164
0.25,10.7,8.316386947319128
0.252,10.1,7.9047243890915455
0.254,9.4,7.490655144900243
0.256,8.8,7.074260589688494
0.258,8.2,6.655622561665565
0.26,7.699999999999999,6.234823346053865
0.262,7.1,5.811945658732561
0.264,6.5,5.387072629781324
0.266,5.9,4.960287786927787
0.268,5.4,4.531675038902429
0.27,4.9,4.101318658704517
0.272,4.4,3.6693032667829577
0.274,3.9000000000000004,3.235713814135782
0.276,3.5999999999999996,2.8006355653321346
0.278,3.0999999999999996,2.3641540814606463
0.28,2.7,1.926355203008076
0.282,2.3,1.4873250326722043
0.284,1.9000000000000004,1.0471499181129398
0.286,1.5999999999999996,0.6059164346456383
0.288,1.2999999999999998,0.16371136788070198
0.29,1.0,0.0
0.292,0.7999999999999998,0.0
0.294,0.6000000000000001,0.0
0.296,0.3999999999999999,0.0
0.298,0.2999999999999998,0.0
0.3,0.2999999999999998,0.0
0.302,0.20000000000000018,0.0
0.304,0.20000000000000018,0.0
0.306,0.2999999999999998,0.0
0.308,0.20000000000000018,0.0
0.31,0.20000000000000018,0.0
0.312,0.2999999999999998,0.0
0.314,0.20000000000000018,0.0
0.316,0.20000000000000018,0.0
0.318,0.20000000000000018,0.0
